The 88  ;"Hard to Be You"
Paris, Texas;"Like You Like an Arsonist"
Patrick Park;"Life's a Song"
Patrick Park;"Something Pretty"
The Pattern;"Selling Submarines"
Paul Oakenfold feat. Brittany Murphy;"Faster Kill Pussycat"
Paul Westerberg;"Let the Bad Times Roll"
Peggy Lee;"Winter Wonderland"
Pennywise;"Knocked Down"
The Perishers;"Nothing Like You and I"
The Perishers;"Trouble Sleeping"
The Perishers;"Weekends"
PET;"No Yes No"
Petra Haden & Bill Frisell;"Yellow"
Phantom Planet;"California"
Phantom Planet;"California 2005"
Phantom Planet;"Our House"
Phoenix;"Love For Granted"
Phoenix;"Run Run Run"
Phontaine;"Sour Milk"
Pinback;"AFK"
Pinback;"Fortress"
Pinback;"Non-Photo Blue"
Pinback;"Wasted"
Placebo;"Running Up that Hill"
Plastilina Mosh;"Quiero Mi Pastilla"
The Plus Ones;"All the Boys"
The Pogues;"Love You 'Till The End"
Poison;"Every Rose Has Its Thorn"
Poster Children;"Western Springs"
The Presets;"Girl and the Sea"
Preston School of Industry;"Caught in the Rain"
The Prodigy;"Hot Ride"
Psapp;"Rear Moth"
Puddle of Mudd;"Away from Me"
R.E.M.;"Talk About the Passion"
Rachael Yamagata;"Reason Why"
Rachael Yamagata;"Worn Me Down"
Radio 4;"Start a Fire"
Radiohead;"Fog (Again)"
Radiohead;"Like Spinning Plates"
The Rakes;"Retreat"
Ranchera All Stars;"De Un Mundo Raro"
Ranchera All Stars;"Ella"
Ranchera All Stars;"Pa Todo El Ano"
Ranchera All Stars;"Siempre Hace Frio"
Ranchera All Stars;"Tu Solo"
The Raveonettes;"The Christmas Song"
The Reindeer Section;"Cartwheels"
Richard Hayman and his Orchestra;"Autumn Leaves"
Rilo Kiley;"Portions for Foxes"
Ringside;"Strangerman"
Rithma;"Opium Dreams"
Rob Zombie;"Foxy Foxy"
Robbers on High Street;"Love Underground"
Rock Kills Kid;"Hide Away"
Rock Kills Kid;"I Turn My Camera On"
Rockers Hi Fi;"Going Under"
Rocky Votolato;"White Daisy Passing"
The Rogers Sisters;"Freight Elevator"
Rogue Wave;"California"
Rogue Wave;"Debaser"
Rogue Wave;"Interruptions"
Rogue Wave;"Publish My Love"
Ron Sexsmith;"Maybe this Christmas"
Rooney;"Blueside"
Rooney;"I'm a Terrible Person"
Rooney;"I'm Shakin'"
Rooney;"Merry Xmas Everybody"
Rooney;"Popstars"
Rooney;"Sorry Sorry"
The Roots;"Rolling with Heat"
Röyksopp;"Triumphant"
Rufus Wainwright;"California"
The Runaways;"Cherry Bomb"
The Runaways;"Wait for Me"
Ryan Adams and The Cardinals;"Friends"
Ryan Adams;"Wonderwall"
Ryan Adams;"Nightbirds"
Sam Prekop;"C + F"
Sam Roberts;"The Bootleg Saint"
Sam Roberts;"No Sleep"
Sandy Cohen;"Don't Give Up On Me"
Sandy Cohen;"She's No Lady, She's My Wife"
Scissors For Lefty;"Next to Argyle"
Scorpions;"Rock You Like a Hurricane"
Scotland Yard Gospel Choir;"That's All I Need"
Shady Lady;"We're Going Out Tonight"
Si Zentner;"Desafinado"
Sia;"The Bully"
Sia;"Paranoid Android"
Secret Machines;"Road Leads Where It's Led"
Senza;"Cava Del Rio"
She Wants Revenge;"I Don't Wanna Fall in Love"
The Shins;"Turn on Me"
Shout Out Louds;"But Then Again No"
Shout Out Louds;"Go Sadness"
Shout Out Louds;"Wish I Was Dead Pt. 2"
Silversun Pickups;"Lazy Eye"
Silversun Pickups;"Rusted Wheel"
Singapore Sling;"Over Driver"
Slightly Stoopid;"Sweet Honey"
The Smashing Pumpkins;"To Sheila"
Soledad Brothers;"Cage That Tiger"
Solomon Burke;"Don't Give Up On Me"
Someone Still Loves You Boris Yeltsin;"Oregon Girl"
Something Corporate;"Space"
Soul Kid #1;"More Bounce (In California)"
Soulwax;"E Talking"
South;"Nine Lives"
South;"Paint the Silence"
Sparklehorse;"Return To Me"
Spiderbaby;"Don't Pity Me"
Spoon;"Sister Jack"
Spoon;"I Turn My Camera On"
Spoon;"The Way We Get By"
Squirrel Nut Zippers;"Anything But Love"
Stacey Kent;"A Fine Romance"
Stars;"The Big Fight"
Stars;"The Vanishing"
Stars;"Your Ex-Lover is Dead"
The Stills;"The House We Live In"
The Subways;"I Want to Hear What You Have Got to Say"
The Subways;"Oh Yeah"
The Subways;"Rock & Roll Queen"
Sufjan Stevens;"Dear Mr. Supercomputer"
Sufjan Stevens;"To Be Alone With You"
Sufjan Stevens;"For the Widows in Paradise, for the Fatherless in Ypsilanti"
Sufjan Stevens;"The Incarnation"
The Suicide Machines;"Did You Ever Get a Feeling of Dread"
Summer Roberts;"Wannabe"
The Sunshine Underground;"I Ain't Losing Any Sleep"
Sun Kil Moon;"Neverending Math Equation"
Sun Kil Moon;"Tiny Cities Made Of Ashes"
Sunday Runners;"Faking the Books"
Sunday Runners;"Memories Left at Sea"
Super Furry Animals;"Hello Sunshine"
The Surge;"Spin Me Around"
Survivor;"Eye of the Tiger"
Syd Matters;"Hello Sunshine"
Syd Matters;"To All Of You"
Syntax;"Pride"
Tally Hall;"Good Day"
Tally Hall;"Hidden In The Sand"
Tally Hall;"Smile Like You Mean It"
The Talk;"N.Y.L.A."
Tangerine Dream;"Love on a Real Train"
The Tao Of Groove;"Brand New Dehli"
Temper Temper;"Trust Me"
Thom Yorke;"Black Swan"
The Thrills;"Big Sur"
The Thrills;"The Curse of Comfort"
The Thrills;"Faded Beauty Queens"
The Thrills;"Not For All the Love in the World"
The Thrills;"Saturday Night"
T.I.;"Bring 'Em Out"
Tiger Lou;"Warmth"
Timo Maas;"To Get Down"
Tom Jones;"It's Not Unusual"
Tom Petty and the Heartbreakers;"Christmas All Over Again"
Tom Quick;"Butterfly"
Tom Quick;"Honey Dew"
Tom Vek;"I Ain't Sayin' My Goodbyes"
Tom Vek;"C-C (You Set The Fire In Me)"
Transplants;"Gangsters and Thugs"
Trent Dabbs;"The Love Goes"
Trespassers William;"Alone"
Trespassers William;"Different Stars"
Tricky;"Hollow"
Tricky;"How High"
True Love;"The Crime"
Tunng;"It's Because... We've Got Hair"
Tunng;"Pioneers"
Turin Brakes;"Rain City"
Turin Brakes;"Self-Help"
Two Hours Traffic;"Leave Me Alone"
U2;"Sometimes You Can't Make It On Your Own"
Underoath;"A Boy Brushed Red...Living in Black and White"
User;"Do You"
The Vacation;"Make Up Your Mind"
Van McCoy;"Hustle"
The Ventures;"Santa Claus is Coming to Town"
Victor Malloy;"A Night in Vegas"
The Vines;"Anysound"
The Vines;"Ride"
The Vines;"Spaceship"
Viva Voce;"Lesson No. 1"
Walking Concert;"Hands Up!"
The Walkmen;"Little House of Savages"
The Walkmen;"What's In It For Me?"
Way Out West;"Melt"
We Are Scientists;"Inaction"
The Western States Motel;"The New E Blues"
Whitesnake;"Here I Go Again"
Whitey;"Wrap It Up"
Wilco;"Panther"
Will Smith;"Miami"
The Willowz;"Meet Your Demise"
Wolfmother;"Woman"
Yellowcard;"Way Away"
Youth Group;"Start Today Tomorrow"
Youth Group;"Daisychains"
Youth Group;"Forever Young"
Youth Group;"Shadowland"
Zack Hexum;"Met a Girl Like You Once"
Zero 7;"Destiny"
Zero 7;"Pageant of The Bizarre"
Zero 7;"Passing By"
Zero 7;"Somersault"
Zero 7;"Waiting to Die"
